Date,content
2022-12-23,"<앵커>    한강 지류인 경안천 주변에는 상수원 보호를 위해서 국가가 매입한 땅들이 있는데요. 한강유역환경청과 용인시가 손잡고 이 땅을 수변 생태 숲으로 조성하고 있습니다.    유영수 기자입니다.    <기자>    최근 완공된 '경안천 도시숲'입니다.    축구장 10개 넓이의 공간에, 생태습지와 산책로, 휴게시설 등이 들어섰습니다.    이 땅은 한강유역환경청이 상수원 수질보호를 위해 매입한 국유지입니다.    오염 방지만을 위해 소극적으로 관리했는데, 용인시와 적극적으로 손잡고 생태 공원으로 재탄생시킨 것입니다.    [김경임/용인시 포곡읍 : 일단 없던 혜택이 저희한테 생겼다고 할까요. 많은 주민들이 지금 여기 인근 아파트 어르신들이 많이 나오시거든요.]    용인시와 한강유역환경청은 모현읍 경안천 일대에도 '갈담 생태숲'을 조성하기로 했습니다.    축구장 21개 크기인 15만 제곱미터 규모에, 생태습지와 연못, 놀이터, 산책로 등을 설치합니다.    [김종순/용인시 모현읍 : 숲으로 되어 있잖아요. 이런 거를 숲, 생태숲으로 만들어 주신다고 하니까 저희 들은 너무 고맙죠. 사용할 수 없는 자리를 사용할 수 있게끔 해주시는데.]    용인시는 국유지를 활용해 재정부담을 최소화하면서 주민에게 친환경 휴식공간을 제공할 수 있다는 것을 최대장점으로 꼽습니다.    [정태식 팀장/용인시 공원조성과 : 수질보존을 할 때 그냥 나무만 심고 저류지를 만들어서 그냥 활용할 수도 있는데, 공원화한다면 부족한 공원도 확보할 수 있고 수질도 보존할 수 있는….]    갈담 생태숲은 내년 말 완공될 예정입니다."
2022-12-22,"용인특례시(시장 이상일) 내년도 처인구 교통 인프라 구축에 심혈을 기울이기 위해 예산 1129억을 투입한다. 구 도심의 낙후된 도로·교통 기반을 확충해 주민 불편을 해소하고 나아가 도시의 균형발전을 위한 기틀을 만들기 위해 내년도 18개 노선 도로개설사업비 541억 포함 구 소관 도로·교통 분야 예산은 전년 대비 약 220억원(59.7%) 늘어 588억을 편성했다. 우선 75개 노선 도로 개설사업에 시비와 구비를 포함한 1075억을 투입해 원삼면 두창리에서 가재월리(국도17호선)를 잇는 길이 1.9km의 보개원삼로 확포장공사는 올해 80억원을 투입하여 2025년 준공을 목표로 실시설계 중이다. 이 도로가 개설되면 용인 반도체 클러스터와 소부장 협력 기업들의 접근성이 높아져 기업간 물류 이동이 편리해지는 것은 물론 시민의 교통편의도 한층 높아질 것으로 기대하고 있다. 화성-광주고속도로 포곡IC 인근의 원활한 차량 흐름을 위한 연계 도로도 2024년 7월 완공을 목표로 확충하고, 마성 교차로에서 포곡IC까지 이어지는 중1-45호선에 50억원을 투입, 2.24km 구간의 왕복 2차로를 4차로로 확장한다. 또 포곡 IC에서 국도 45호선으로 이어지는 길이 200m 왕복 6차로의 연결도로를 신설한다. 이 노선엔 경안천을 횡단하기 위한 125m의 교량도 들어선다. 이 공사엔 61억원이 투입된다. 비포장도로로 불편을 겪어왔던 마평동 용마초등학교엔 9억원을, 남사읍 남곡초등학교 일원엔 12억원을 투입해 학생들의 안전한 통학로 확보를 위한 도로 확·포장 공사를 한다. 편리한 교통체계 개선을 위해선 상습 정체 구간 정비에 54억을 투입한다. 먼저 중부대로 삼가역에서 효자고개 사이 구간에 서용인IC와 신중부대로로 편리하게 빠져나갈 수 있는 P턴 진입로를 조성한다. 지금은 중부대로에서 서용인IC로 진출하려면 효자고개에서 유턴해 맞은편 출구를 이용하거나 미르스타디움을 우회해야 하는 등 불편을 겪고 있다. 구는 미르스타디움 옆 가용부지에 길이 110m 구간의 P턴 진입로를 조성하는 공사에 4억6000만원을 투입, 내년 6월 완공할 예정이다. 또 백옥대로 이동읍 덕성리에서 천리 방향 상습정체를 해소하기 위해 천리 방향 편도 1차로를 2개 차로로 확장하는 공사에 15억원을 들인다. 내년 6월 완공할 계획이다. 남사 신도시, 산업단지 조성 등으로 교통량이 증가하면서 병목현상을 빚어온 용인대 입구 삼거리엔 내년 3월부터 가변차로를 운영한다. 왕복 4차로 가운데 3차로 300m 구간을 가변차로로 사용, 출근 시간(오전 5시~12시)엔 용인대 방향 오르막 차량이 통행하도록 하고 퇴근 시간은 기존대로 용인대 입구 삼거리 방향 내리막 차량의 좌회전 차로로 운영하는 내용이다. 이를 위해 구는 운전자들이 가변차로를 인지할 수 있도록 60~80m마다 가변 신호등을 설치할 계획이다. 구에 따르면 올해 마평교차로(1차로→2차로)와 마성교차로(2차로→3차로)의 교통체계 개선 공사로 이 구간 통행량이 65~80% 늘어나는 등 원활한 소통에 도움을 준 것으로 확인됐다. 이와 별개로 시 교통정책과에서도 유림1교차로와 삼계삼거리의 교통섬을 정비해 원활한 통행 공간을 확보하고 좌회전 차로가 없어 불편을 겪던 남사읍 대성주유소 삼거리에 길이 50m의 좌회전 대기 차로를 신설한다. 이상일 용인특례시장은 ""처인구 주민들이 체감하는 교통 불편은 심각한 수준""이라며 ""용인의 균형발전을 위해선 처인구 교통 인프라 개선이 필수적인 만큼 대대적 예산 투입을 결정했다""고 말했다. 한편 이 시장은 ""시의 역사를 이어온 처인구는 앞으로 시의 미래를 이끌어갈 잠재력을 가진 곳""이라며 ""장기적으로 국지도 57호선 연결 확장과 경강선 연장 등 철도·도로망을 확충하고 단기적으론 저비용 고효율의 교통체계 개선으로 시민 눈높이에 맞는 편리한 교통 인프라를 갖춰나가겠다""고 강조했다. 용인=이인국 기자 kuk15@"
2022-12-22,"용인시가 처인구 75개 노선 도로개설ㆍ서용인IC P턴 진입로 조성 등 교통인프라 개선 계획을 밝혔다.  시는 내년 도로개설과 교통체계 개선 사업에 1천129억 원을 투입한다고 22일 밝혔다.  시가 추진하는 18개 노선 도로개설사업비 541억 원을 차치하더라도 구 소관의 도로ㆍ교통 분야 예산만 전년 대비 약 220억 원(59.7%) 늘어난 588억 원을 편성했다.  우선 75개 노선 도로 개설사업에 시비와 구비를 포함한 1천75억 원이 들어간다.  처인구 원삼면 두창리에서 가재월리(국도17호선)를 잇는 길이 1.9km의 보개원삼로 확포장공사엔 올해 80억원을 투입해 2025년 준공을 목표로 실시설계 중이다.  이 도로가 개설되면 용인 반도체 클러스터와 소부장 협력 기업들의 접근성이 높아져 기업 간 물류 이동이 편리해지는 것은 물론 시민의 교통편의도 한층 높아질 것으로 기대하고 있다.  화성-광주고속도로 포곡IC 인근의 원활한 차량 흐름을 위한 연계 도로도 2024년 7월 완공을 목표로 확충한다.  마성교차로에서 포곡IC까지 이어지는 중1-45호선에 50억원을 투입해 2.24km 구간의 왕복 2차로를 4차로로 확장한다.  또 포곡IC에서 국도 45호선으로 이어지는 길이 200m 왕복 6차로의 연결도로를 신설한다. 이 노선엔 경안천을 횡단하기 위한 125m의 교량도 들어선다. 이 공사엔 61억원이 투입된다.  비포장도로로 불편을 겪어왔던 마평동 용마초등학교엔 9억원을, 남사읍 남곡초등학교 일원엔 12억원을 투입해 학생들의 안전한 통학로 확보를 위한 도로 확ㆍ포장 공사를 한다.  표명구ㆍ나규항기자"
2022-12-22,"[머니투데이 경기=박광섭 기자] 경기 용인시가 내년 1129억 원을 투입해 처인구 교통인프라를 개선한다.  22일 용인시에 따르면 시는 내년 처인구 도로개설과 교통체계 개선 사업에 1129억 원을 편성했다. 시가 추진하는 18개 노선 도로개설사업비 541억 원과 처인구 관내 도로·교통 분야 (유지보수, 체계 개선사업 등) 예산 588억 원이다.  도로 개설 사업에는 구비 534억 원을 더 해 모두 75개 노선 1075억 원을 들이게 된다.  원삼면 두창리에서 가재월리(국도17호선)를 잇는 길이 1.9km의 보개원삼로 확포장공사엔 올해 80억 원을 투입, 2025년 준공을 목표로 실시설계 중이다.  이 도로가 개설되면 용인 반도체 클러스터와 소부장 협력 기업들의 접근성이 높아져 기업간 물류 이동이 편리해지는 것은 물론 시민의 교통편의도 한층 높아질 것으로 기대하고 있다.  화성-광주고속도로 포곡IC 인근의 원활한 차량 흐름을 위한 연계 도로도 2024년 7월 완공을 목표로 확충한다. 마성교차로에서 포곡IC까지 이어지는 중1-45호선에 50억 원을 투입, 2.24km 구간의 왕복 2차로를 4차로로 확장한다.  또 포곡IC에서 국도 45호선으로 이어지는 길이 200m 왕복 6차로의 연결도로를 신설한다. 이 노선엔 경안천을 횡단하기 위한 125m의 교량도 들어선다. 이 공사엔 61억 원이 투입된다.  편리한 교통체계 개선을 위해선 상습 정체 구간 정비에 54억 원이 쓰인다.  먼저 중부대로 삼가역에서 효자고개 사이 구간에 서용인IC와 신중부대로로 편리하게 빠져나갈 수 있는 P턴 진입로를 조성한다. 구는 미르스타디움 옆 가용부지에 길이 110m 구간의 P턴 진입로를 조성하는 공사에 4억6000만 원을 투입, 내년 6월 완공할 예정이다.  또 백옥대로 이동읍 덕성리에서 천리 방향 상습정체를 해소하기 위해 천리 방향 편도 1차로를 2개 차로로 확장하는 공사에 15억 원을 들인다. 내년 6월 완공할 계획이다.  이상일 용인시장은 ""용인의 균형발전을 위해선 처인구 교통 인프라 개선이 필수적인 만큼 대대적 예산 투입을 결정했다""라면서 ""장기적으로 국지도 57호선 연결 확장과 경강선 연장 등 철도·도로망을 확충하고 단기적으론 저비용 고효율의 교통체계 개선으로 시민 눈높이에 맞는 편리한 교통 인프라를 갖춰 나가겠다""고 말했다."
2022-12-22,"[헤럴드경(용인)=박정규 기자]용인시 처인구 교통인프라가 대폭 개선된다.  구도심 낙후된 도로·교통 기반을 확충해 주민 불편을 해소하고 나아가 도시의 균형발전을 위한 기틀을 만들기 위해서다. 처인구는 이같은 내용으로 내년 도로개설과 교통체계 개선 사업에 1129억원을 투입한다고 22일 밝혔다.  시가 추진하는 18개 노선 도로개설사업비 541억원을 차치하더라도 구 소관의 도로·교통 분야 예산만 전년 대비 약 220억원(59.7%) 늘어난 588억원을 편성했다. 75개 노선 도로 개설사업에 시비와 구비를 포함한 1075억원이 들어간다.  원삼면 두창리에서 가재월리(국도17호선)를 잇는 길이 1.9㎞의 보개원삼로 확포장공사엔 올해 80억원을 투입, 2025년 준공을 목표로 실시설계 중이다.  개설되면 용인 반도체 클러스터와 소부장 협력 기업들의 접근성이 높아져 기업간 물류 이동이 편리해지는 것은 물론 시민의 교통편의도 한층 높아질 것으로 기대하고 있다.  화성-광주고속도로 포곡IC 인근의 원활한 차량 흐름을 위한 연계 도로도 2024년 7월 완공을 목표로 확충한다.  마성교차로에서 포곡IC까지 이어지는 중1-45호선에 50억원을 투입, 2.24㎞ 구간의 왕복 2차로를 4차로로 확장한다.  또 포곡IC에서 국도 45호선으로 이어지는 길이 200m 왕복 6차로의 연결도로를 신설한다. 이 노선엔 경안천을 횡단하기 위한 125m의 교량도 들어선다. 이 공사엔 61억원이 투입된다.  비포장도로로 불편을 겪어왔던 마평동 용마초등학교엔 9억원을, 남사읍 남곡초등학교 일원엔 12억원을 투입해 학생들의 안전한 통학로 확보를 위한 도로 확·포장 공사를 한다. 상습 정체 구간 정비에 54억원을 투입한다. 중부대로 삼가역에서 효자고개 사이 구간에 서용인IC와 신중부대로로 편리하게 빠져나갈 수 있는 P턴 진입로를 조성한다.  지금은 중부대로에서 서용인IC로 진출하려면 효자고개에서 유턴해 맞은편 출구를 이용하거나 미르스타디움을 우회해야 하는 등 불편을 겪고 있다. 구는 미르스타디움 옆 가용부지에 길이 110m 구간의 P턴 진입로를 조성하는 공사에 4억6000만원을 투입, 내년 6월 완공할 예정이다.  백옥대로 이동읍 덕성리에서 천리 방향 상습정체를 해소하기 위해 천리 방향 편도 1차로를 2개 차로로 확장하는 공사에 15억원을 들인다. 내년 6월 완공할 계획이다. 남사 신도시, 산업단지 조성 등으로 교통량이 증가하면서 병목현상을 빚어온 용인대 입구 삼거리엔 내년 3월부터 가변차로를 운영한다.  왕복 4차로 가운데 3차로 300m 구간을 가변차로로 사용, 출근 시간(오전 5시~12시)엔 용인대 방향 오르막 차량이 통행하도록 하고 퇴근 시간은 기존대로 용인대 입구 삼거리 방향 내리막 차량의 좌회전 차로로 운영하는 내용이다. 운전자들이 가변차로를 인지할 수 있도록 60~80m마다 가변 신호등을 설치할 계획이다.  올해 마평교차로(1차로→2차로)와 마성교차로(2차로→3차로)의 교통체계 개선 공사로 이 구간 통행량이 65~80% 늘어나는 등 원활한 소통에 도움을 준 것으로 확인됐다.  유림1교차로와 삼계삼거리의 교통섬을 정비해 원활한 통행 공간을 확보하고 좌회전 차로가 없어 불편을 겪던 남사읍 대성주유소 삼거리에 길이 50m의 좌회전 대기 차로를 신설한다.  이상일 용인특례시장은 “처인구 주민들이 체감하는 교통 불편은 심각한 수준”이라며 “용인의 균형발전을 위해선 처인구 교통 인프라 개선이 필수적인 만큼 대대적 예산 투입을 결정했다”고 말했다.        fob140@heraldcorp.com"
2022-12-20,"[머니투데이 경기=박광섭 기자] 경기 용인시가 2023년 '시민 눈높이'에 맞춘 참신한 교통사업을 추진한다.  20일 용인시에 따르면 시는 내년 △버스정류장 무정차 방지 신호등△급커브구간 차량 접근 경고시스템 △자전거도로 공기주입기 등을 설치하는 신규 사업에 1억4000만 원을 투입한다.  우선 노선버스 무정차로 인한 시민들의 불편을 해소하기 위해 무정차 발생빈도가 높은 기흥역, 강남대역, 삼가역·두산위브 등 8곳에 정차 신호등을 시범 설치한다.  승객이 버스정류장에서 직접 승차 버튼을 누르면 정류장 부스 상단에 설치된 신호등에 불이 켜지는 동시에 버스 내 단말기에도 연계, 운수종사자에게 승객이 있음을 알려주는 식이다.  지난 10월 기준 지역 내 버스 이용 불편 신고에 의한 행정처분 대상(1360건) 가운데 무정차가 950건으로 가장 높은 것으로 확인됐다.  굴곡진 지형 탓에 시야 확보가 어려운 처인구 원삼면 곱등고개에는 교통안전지원시스템을 도입한다.  적외선이나 영상으로 차량을 감지하는 센서와 '차량 접근 중' 등의 안내 문구가 표시되는 LED 전광판으로 구성된 이 기기는 맞은편 차로의 차량 접근 여부와 속도를 알려줘 운전자가 안전하게 통행할 수 있도록 돕는 역할을 한다.  지난 4년간 이 구간에서 발생한 4건의 교통사고는 시야 확보 부족과 중앙선 침범이 원인으로 밝혀졌다.  자전거 이용자들의 편의를 위해선 하천 내 자전거도로 진출입부에 공기주입기를 확대 설치한다.  이미 기흥구 마북동 구성1교 하부와 보정동 보정장례식장 앞, 죽전동 죽전이마트 앞, 마북동 구성교 인근 등 탄천변 4곳에 공기주입기를 설치한 데 이어 내년 15대를 추가한다.  탄천과 신간천, 경안천, 양지천에 각각 1대씩 전기식 주입기를, 탄천과 안대지천, 정평천, 성복천, 영덕천, 신갈천, 지곡천, 금학천, 양지천에 수동식 주입기를 설치한다. 경안천엔 2대가 설치된다.  용인시 관계자는 ""일상에서 겪는 불편 사항을 세심하게 관찰해 시민 만족도를 높일 수 있도록 교통편의 사업을 계획했다""며 ""내년에도 창의적인 발상으로 시민들의 공감을 얻을 수 있는 정책을 지속적으로 발굴, 추진해 나가겠다""고 말했다."
2022-12-19,"용인특례시가 민선 8기 역점사업으로 추진 중인 용인중앙시장 도시재생사업이 잰걸음을 하고 있다. 국토교통부 주관 도시재생 공모에서 해당 사업이 지역특화·스마트 재생 분야 대상지로 선정돼서다. 해당 사업을 통해 스마트 복합문화체험공간 등을 갖춘 ‘김량장 스마트워크 플랫폼’이 조성된다. 이에 따라 시는 처인구 김량장동 용인중앙시장 일원 20만㎡에 2026년까지 국비 155억원 등 모두 652억원을 들여 지역상권 활성화를 위한 다양한 프로젝트 등 도시재생사업을 추진할 계획이다. 시가 마련한 도시재생 활성화 계획안을 보면 ▲전통시장 체질 개선을 통한 중심 기능 회복 ▲문화 콘텐츠 개발 ▲활력 넘치는 ‘김량장 길’ 명소화 등 3가지 목표 아래 13개 세부 계획을 마련했다. 주요 사업으로는 스마트 복합문화체험 공간과 청년창업 공간, 평생학습관 등을 갖춘 ‘김량장 스마트워크 플랫폼’ 조성, 경안천과 금학천 등 수변 공간과 어우러지는 커뮤니티형 광장 조성, 에버랜드·한국민속촌·중앙시장상인회·청년협동조합 등과 함께하는 플리마켓 운영, 보행특화거리 조성 등이 담겼다. 특히 중앙시장 이용객들의 편의를 위해 시장 안 전기차 충전시설, 5G 기반 공공 와이파이, 전기화재 사전 예방 지능형 에너지 관리 시스템, 스마트 가로등, 범죄예방 로고젝터 등도 갖출 예정이다. 지난해 국토부 도시재생사업 공모에 도전했다가 심사에서 탈락한 용인시는 이번에 경기도에서 유일하게 지역특화·스마트 재생 분야 사업 대상지로 선정됐다. 이상일 시장은 “최근 원희룡 국토부 장관이 방문해 중앙시장과 그 주변을 대대적으로 바꾸겠다는 구상에 공감했다”며 “용인의 산 역사이기도 한 중앙시장을 더 많은 분이 즐겨 찾을 수 있는 명소가 되도록 도시재생사업을 추진해 나가겠다”고 말했다. 용인=강한수·김경수기자"
2022-12-16,"[헤럴드경제(용인)=박정규 기자] 이상일 용인시장이 중앙시장의 대변신을 예고했다.  이 시장은 16일 자신의 SNS를 통해 “용인특례시 중앙시장 일대 6만여평이 확 달라지게 됩니다. 제가 취임한 뒤 세운 이곳 도시재생활성화 계획안이 국토교통부 도시재생사업 공모 사업으로 선정돼 국비 155억원과 도비 31억원을 지원받게 되고, 여기에 시비까지 대거 투입될 것이기 때문입니다.60년 이상의 역사를 가진 중앙시장과 그 주변지역이 경기도의 심사를 거쳐 국토교통부 도시재생특별위원회 최종 심사에서 지역특화 및 스마트 재생 사업대상지로 경기도에선 유일하게 선정되는 과정에서 시청과 중앙시장 관계자, 김량장동 시민들, 관내 대학과 기업들이 긴밀하게 소통하면서 훌륭한 청사진을 만드는 등 지혜를 모았습니다”고 밝혔다.  그는 “제 요청을 받아들여 용인특례시장실을 방문한 원희룡 국토교통부 장관님은 중앙시장 주변지역 혁신을 위한 시의 구상을 비롯해 교통망 확충 등 용인 발전계획에 대해 경청하시고, 충분한 이해를 나타내 주셨습니다. 원 장관님과 국토교통부 관계자들께도 감사의 뜻을 전합니다”고 했다.  이어 “우리 용인특례시는 내년부터 2026년까지 4년 간 총 사업비 652.5억원을 투입해 중앙시장과 주변 지역 발전, 상권 활성화, 청년창업 촉진, 시민 문화활동증진, 시민 평생학습 프로그램 제공, 즐길거리와 먹거리 풍성화, 주차공간 확충, 전기차 충전 스테이션설치, 지능형 회재 예방 시스템 가동, 경안천과 금학천 주변 재창조, 문화가 있는 수변공간 탄생 등 다양한 사업을 추진할 방침입니다”고 했다.  그러면서 “용인 처인구 김량장동 일대 20만467㎡(6만평)가 현대적인 모습으로 탈바꿈되고, 스마트해질 것입니다. 과거엔 용인을 대표하는 상권이었으나 지금은 다소 위축된 중앙시장과 그 주변은 앞으로 13개 사업(특화재생 8개, 스마트 5개)이 진행되면 시민의 더 큰 사랑을 받게될 것입니다. 시는 또 에버랜드, 한국민속촌, 도시재생현장지원센터, 중앙시장 상인회, 청년협동조합 등과 함께 플리마켓과 버스킹 운영, 팝업 프로그램 시행 등을 통해 시민들께서 유익함도 얻고, 재미도 느끼실 수 있도록 할 계획입니다”고 했다.  이 시장은 “전국에 많지 않은 5일장이 열리는 오랜 역사적 전통을 가진 용인 중앙시장과 주변 지역이 제2의 전성기를 구가할 수 있도록 최선을 다하겠습니다. 존경하는 시민들께서도 응원 많이 해주시고, 좋은 아이디어도 주시기 바랍니다”고 덧붙였다.    fob140@heraldcorp.com"
2022-12-15,"용인특례시 처인구 원도심 중앙동 일대가 '국토교통부 도시재생사업 공모' 대상지로 최종 선정됐다고 15일 밝혔다. 이곳은 처인구 김랑장동 용인 중앙시장 일대로 '도시재생활성화계획(안)'이 국토교통부 도시재생특별위원회 최종 심사에서 지역특화 스마트 재생 최종 대상지로 결정됐다. 이 사섭은 민선 7기 심사에서 탈락 됐지만 올 7월 이상일 시장 취임 후 지역특화 스마트 재생 분야에서 경기도 31개 지자체 중 유일하게 선정되었다. 이번 공모 선정으로 국비 155억원, 도비 31억원을 지원받아 2026년까지 4년간 총 사업비 652억5000만 원을 투입하여 중앙시장을 주축으로 주변 지역의 여러 자원을 활용해 지역발전과 상권 활성화 사업 방향으로 추진한다는 계획이다. 중앙동 도시재생활성화계획(안)은 처인구 김량장동 일대 20만467㎡(6만 평)를 현대적인 모습으로 탈 바꿈 하는데 중점을 뒀다. 이로 인해 관내 대학들과 스마트 기업들의 참여 의지를 엿 볼 수 있어 지역 발전 가능성의 중요 요인으로 분석된다. 또한 재래시장 체질 개선을 통한 중심기능 회복, 문화 콘텐츠 개발, 활력 넘치는 '김량장 길' 명소화 등 세 가지 목표 아래 13개(특화재생 8개, 스마트 5개) 세부 사업 계획을 마련했다. 특히 중앙시장을 발전시키기 위해 이용객 다층화를 비롯해 차별화된 시장을 제공할 수 있는 시장 내 핵심 거점 역할 '김량장 스마트 워크 플랫폼'을 조성키 한다. 플랫폼은 커뮤니티 센터, 스마트 복합문화 체험 공간, 청년창업 공간, 평생학습관, 주차 공간 등을 갖춘 뒤 젊은 층과 가족 단위 이용객들의 지속적인 방문을 유도하는 기능도 갖춘다. 뿐만 아니라 인공지능·자율주행·메타버스 등의 첨단 기술을 체험할 수 있고 인텔, NHN, MS 등 글로벌 기업, 관내 대학과 협업해 인재 양성 및 창업 프로그램을 운영할 계획이다. 또한 인근 경안천과 금학천의 수변 공간이 중앙시장과 이어지도록 두 하천에 커뮤니티형 광장을 조성해 공간의 연결성을 높이고 도시미관과 보행환경을 개선하여 문화컨텐츠 개발도 유도할 방침이다. 또 에버랜드, 한국민속촌, 도시재생현장지원센터, 중앙시장 상인회, 청년협동조합 등과 함께 플리마켓, 버스킹, 팝업 프로그램 등을 다채롭게 개발할 예정이고, 보행 특화거리와 수변 데크를 조성해 걷기 좋은 환경을 만들고 포토존, 낙하 분수 등 다채로운 볼거리를 제공해 머물고 싶은 공간, 매력적인 공간으로 명소화를 추진한다. 게다가 이용객들의 편의를 위해 시장 내 전기차 충전스테이션을 구축하고, 5G 기반 공공와이파이, 전기화재 사전예방 지능형 에너지 관리, 스마트 가로등, 범죄예방 로고젝트 등의 스마트·ICT 기술을 접목해 더욱 편리하고 안전한 쇼핑 환경을 제공할 계획이다. 이번 사업의 결정적인 역활은 2019년부터 중앙시장 상인회를 중심으로 '휴먼 김량장 도시재생 주민협의체'를 운영해 도시재생사업 추진을 위한 강한 의지를 보였기 때문에 심사에서 긍정적인 요인으로 작용했다는 평가다. 이상일 시장은 ""이번 공모사업 선정은 시와 지역주민, 상인, 관내 대학, 기업 등 모두가 힘을 모아 지역발전과 도시혁신을 위해 다양한 아이디어를 내고 지혜를 모았기 때문이다. 앞으로 서민들의 애환이 서린 중앙시장을 보다 많은 시민들이 즐겨 찾고 주변 골목마다 활력과 웃음이 넘치는 도시재생사업에 행정력을 집중하겠다""고 말했다. 용인=이인국 기자 kuk15@"
2022-12-15,"용인특례시 처인구 중앙동 일대가 '2022년 국토교통부 도시재생사업 공모' 대상지로 최종 선정됐다.  용인특례시는 처인구 김랑장동 용인중앙시장 일대를 변모시킬 '도시재생활성화계획(안)'이 국토교통부 도시재생특별위원회 최종 심사에서 지역특화ㆍ스마트 재생 최종 대상지로 결정됐다고 15일 밝혔다.  민선 7기 때인 지난해 용인시는 이 사업 심사에서 탈락했으나 올해 7월 민선 8기 이상일 시장 취임 후 철저한 준비를 함에 따라, 결국 지역특화ㆍ스마트 재생 분야에서 경기도 31개 지자체 가운데 유일하게 선정되는 쾌거를 이뤘다.  이번 공모 선정으로 용인특례시는 국비 155억 원, 도비 31억 원을 지원받게 된다. 용인시는 오는 2023년부터 2026년까지 4년간 총 사업비 652억5천만 원을 투입, 용인중앙시장을 주축으로 주변 지역의 여러 자원을 활용해 지역발전과 상권 활성화를 할 다양한 사업을 추진할 방침이다.  중앙동 도시재생활성화계획(안)은 처인구 김량장동 137-1번지 일대 20만467㎡(6만평)를 현대적인 모습으로 바꾸는 것이다.  이 지역은 과거 시의 원도심이었다. 용인중앙시장이 있는 곳으로 과거엔 시를 대표하는 상권이었다.  시는 용인중앙시장 주변에 주거환경개선 사업이 진행되고 있다는 점, 시장과 바로 인접한 경안천과 금학천 등의 훌륭한 수변 자원이 있다는 점에 착안해 지역 활성화 방안을 모색해왔다.  지역 내 대학들과 스마트 기업들의 참여 의지도 지역 발전 가능성의 중요 요인으로 분석됐다.  이를 바탕으로 시는 재래시장 체질 개선을 통한 중심기능 회복, 문화 콘텐츠 개발, 활력 넘치는 '김량장 길' 명소화 등 세 가지 목표 아래 13개(특화재생 8개, 스마트 5개) 세부 사업 계획을 마련했다.  특히, 중앙시장을 발전시키기 위해선 이용객이 다층화 되어야 하고, 중앙시장만의 차별화된 경험을 제공할 수 있어야 한다고 판단해 시장 내 핵심 거점 역할을 할 '김량장 스마트 워크 플랫폼'을 조성키로 했다.  플랫폼은 커뮤니티 센터, 스마트 복합문화 체험 공간, 청년창업 공간, 평생학습관, 주차 공간 등을 갖춘 뒤 젊은 층과 가족 단위 이용객들의 지속적인 방문을 유도하는 기능을 하게 된다.  이곳에선 인공지능ㆍ자율주행ㆍ메타버스 등의 첨단 기술을 체험할 수 있도록 하고 인텔, NHN, MS 등 글로벌 기업, 관내 대학과 협업해 인재 양성ㆍ창업 프로그램을 운영한다.  시는 경안천과 금학천의 수변 공간이 자연스럽게 용인중앙시장과 이어지도록 두 하천에 커뮤니티형 광장을 조성해 공간의 연결성을 높이고 도시미관과 보행환경을 개선하며, 문화컨텐츠 개발도 유도할 방침이다.  시는 또 에버랜드, 한국민속촌, 도시재생현장지원센터, 중앙시장 상인회, 청년협동조합 등과 함께 플리마켓, 버스킹, 팝업 프로그램 등을 다채롭게 개발할 예정이다.  보행특화거리와 수변 데크를 조성해 걷기 좋은 환경을 만들고 포토존, 낙하 분수 등 다채로운 볼거리를 제공해 머물고 싶은 공간, 매력적인 공간으로 명소화를 추진한다.  이용객들의 편의를 위해 시장 안에 전기차 충전스테이션을 구축하고 5G 기반 공공와이파이, 전기화재 사전예방 지능형 에너지 관리, 스마트 가로등, 범죄예방 로고젝트 등의 스마트ㆍICT 기술을 접목해 더욱 편리하고 안전한 쇼핑 환경을 제공할 계획이다.  시가 이번 국토교통부 공모사업에 선정된 것은 이상일 시장이 후보자 시절부터 용인중앙시장 활성화에 큰 관심을 갖고 지역주민, 상인들과 활발히 소통하며, 사업추진을 위해 적극 노력해 왔기 때문이다.  이와 함께 중앙동이 지난 2019년부터 지금까지 용인중앙시장 상인회를 중심으로 '휴먼김량장 도시재생 주민협의체'를 운영해 오는 등 도시재생사업 추진을 위한 강한 의지를 보여왔다는 점도 심사에서 긍정적인 요인으로 작용했다는 평가다.  용인중앙시장은 전국에서 몇 되지 않는 5일장과 전통시장이 함께 열리는 명소이지만 그동안 극심한 침체기에 빠져있었다. 상인들은 이번 공모 선정으로 용인중앙시장이 제2의 전성기를 맞이할 것이라고 기대감을 나타내고 있다.  이상일 용인특례시장은 ""이번 공모사업 선정은 시와 지역주민, 상인, 관내 대학, 기업 등 모두가 힘을 모아 지역발전과 도시혁신을 위해 다양한 아이디어를 내고 지혜를 모았기 때문""이라며 ""얼마 전 용인시청을 방문해 중앙시장과 그 주변을 대대적으로 바꾸겠다는 시의 구상에 큰 이해를 나타내 준 원희룡 국토교통부 장관께 감사의 뜻을 전한다""고 밝혔다.  이 시장은 ""우리 시의 산 역사이기도 한 용인중앙시장을 보다 많은 분들이 즐겨 찾고 주변의 골목골목에 활력과 웃음이 넘쳐날 수 있도록 매력적인 콘텐츠가 가득한 도시재생사업을 실시하겠다""고 말했다.  표명구ㆍ나규항기자"
